date,kospi,djia,ktb3,usd,gold
20170102,2026.16,19881.76,1.638,1206.0,45500.0
20170103,2043.97,19881.76,1.617,1209.5,45560.0
20170104,2045.64,19942.16,1.63,1206.5,45730.0
20170105,2041.95,19899.29,1.607,1195.0,45400.0
20170106,2049.12,19963.8,1.626,1183.5,45440.0
20170109,2048.78,19887.38,1.663,1202.0,45710.0
20170110,2045.12,19855.53,1.647,1202.5,45800.0
20170111,2075.17,19954.28,1.653,1201.0,45850.0
20170112,2087.14,19891.0,1.624,1186.5,45800.0
20170113,2076.79,19885.73,1.635,1176.0,45440.0
20170116,2064.17,19885.73,1.633,1175.5,45900.0
20170117,2071.87,19826.77,1.628,1184.1,45900.0
20170118,2070.54,19804.72,1.649,1162.5,45690.0
20170119,2072.79,19732.4,1.677,1180.0,45690.0
20170120,2065.61,19827.25,1.655,1175.2,45620.0
20170123,2065.99,19799.85,1.64,1170.0,45720.0
20170124,2065.76,19912.71,1.628,1162.0,45640.0
20170125,2066.94,20068.51,1.647,1149.0,45290.0
20170126,2083.59,20100.91,1.687,1161.4,44800.0
20170131,2067.57,19864.09,1.675,1170.0,45080.0
20170201,2080.48,19890.94,1.685,1150.0,45170.0
20170202,2071.01,19884.91,1.674,1152.0,45080.0
20170203,2073.16,20071.46,1.685,1144.8,45000.0
20170206,2077.66,20052.42,1.662,1138.0,44970.0
20170207,2075.21,20090.29,1.641,1136.0,45500.0
20170208,2065.08,20054.34,1.652,1145.0,45580.0
20170209,2065.88,20172.4,1.648,1145.0,45820.0
20170210,2075.08,20269.37,1.668,1153.3,45590.0
20170213,2078.65,20412.16,1.663,1149.5,45790.0
20170214,2074.57,20504.41,1.653,1150.0,45540.0
20170215,2083.86,20611.86,1.661,1140.0,45240.0
20170216,2081.84,20619.77,1.656,1133.0,45400.0
20170217,2080.58,20624.05,1.655,1141.7,45700.0
20170220,2084.39,20624.05,1.67,1151.0,45600.0
20170221,2102.93,20743.0,1.671,1145.0,45600.0
20170222,2106.61,20775.6,1.69,1143.0,45500.0
20170223,2107.63,20810.32,1.676,1139.7,45400.0
20170224,2094.12,20821.76,1.666,1132.0,45550.0
20170227,2085.52,20837.44,1.663,1132.0,45760.0
20170228,2091.64,20812.24,1.67,1134.5,45670.0
20170302,2102.65,21002.97,1.713,1142.0,45800.0
20170303,2078.75,21005.71,1.713,1149.1,45680.0
20170306,2081.36,20954.34,1.746,1153.0,45850.0
20170307,2094.05,20924.76,1.784,1155.2,45480.0
20170308,2095.41,20855.73,1.784,1150.5,45050.0
20170309,2091.06,20858.19,1.789,1155.0,44970.0
20170310,2097.35,20902.98,1.78,1161.0,44780.0
20170313,2117.59,20881.48,1.765,1148.0,44680.0
20170314,2133.78,20837.37,1.758,1148.4,44700.0
20170315,2133.0,20950.1,1.759,1148.0,44560.0
20170316,2150.08,20934.55,1.695,1130.0,44840.0
20170317,2164.58,20914.62,1.675,1130.0,44900.0
